date,Headline Mean,Body Mean,Headline Median,Body Median
2022-03-13,-0.24,0.05,-0.21,0.19
2022-03-14,-0.12,-0.06,0.0,0.0
2022-03-15,-0.44,-0.39,-0.46,-0.47
2022-03-16,0.1,-0.09,0.0,-0.13
2022-03-17,-0.2,-0.14,-0.03,-0.03
2022-03-18,-0.35,-0.3,-0.32,-0.22
2022-03-19,-0.25,-0.16,-0.26,-0.12
2022-03-20,0.03,-0.04,0.08,0.0
2022-03-21,0.01,-0.13,0.03,-0.24
2022-03-22,-0.17,-0.35,-0.38,-0.38
2022-03-23,0.27,-0.38,0.48,-0.3
2022-03-24,0.11,-0.03,0.0,0.0
2022-03-25,0.08,0.16,0.14,0.37
2022-03-26,0.05,-0.11,0.0,0.0
2022-03-27,-0.07,0.42,0.0,0.61
2022-03-28,-0.03,0.57,-0.03,0.57
2022-03-29,-0.2,-0.07,0.0,0.0
2022-03-30,0.0,-0.51,0.0,-0.51
2022-03-31,-0.31,-0.19,-0.31,-0.19
2022-04-01,-0.11,0.1,-0.11,0.1
2022-04-02,-0.12,-0.24,0.0,0.0
2022-04-03,0.0,-0.41,0.0,-0.41
2022-04-04,-0.57,-0.56,-0.66,-0.75
2022-04-05,0.0,0.19,0.0,0.19
2022-04-06,0.0,0.0,0.0,0.0
2022-04-07,-0.2,-0.29,0.0,-0.53
2022-04-08,-0.4,0.22,-0.4,0.22
2022-04-09,-0.4,-0.07,-0.34,0.0
2022-04-10,-0.28,-0.11,0.0,-0.36
2022-04-11,-0.0,0.19,-0.23,0.0
2022-04-12,-0.46,0.38,-0.45,0.4
2022-04-13,0.03,-0.31,0.01,-0.19
2022-04-14,0.13,0.16,0.0,0.0
2022-04-15,-0.03,0.02,0.0,0.0
2022-04-16,-0.54,-0.66,-0.66,-0.69
2022-04-17,-0.02,-0.51,0.0,-0.58
2022-04-18,0.02,0.07,0.0,0.4
2022-04-19,-0.02,-0.17,0.03,-0.09
2022-04-20,-0.28,0.03,-0.28,0.03
2022-04-21,-0.12,0.04,0.0,0.15
2022-04-22,-0.51,-0.13,-0.61,0.0
2022-04-23,-0.36,-0.18,-0.33,-0.17
2022-04-24,-0.28,-0.14,-0.24,-0.15
2022-04-25,0.1,-0.25,0.1,-0.25
2022-04-26,-0.26,-0.11,-0.44,0.0
2022-04-27,-0.32,-0.12,-0.36,-0.06
2022-04-28,-0.19,-0.11,0.0,0.0
2022-04-29,0.0,0.42,0.0,0.42
2022-04-30,-0.32,-0.43,-0.32,-0.36
2022-05-01,-0.13,-0.1,0.0,0.0
2022-05-02,-0.19,-0.11,-0.17,-0.14
2022-05-03,0.06,0.31,0.0,0.35
2022-05-04,0.29,0.05,0.29,0.0
2022-05-05,-0.23,-0.46,-0.09,-0.63
2022-05-06,-0.31,-0.21,-0.23,0.0
2022-05-07,0.11,-0.11,0.0,-0.16
2022-05-08,-0.18,-0.03,0.0,-0.03
2022-05-09,-0.31,0.02,-0.53,0.21
2022-05-10,0.16,0.01,0.0,0.1
2022-05-11,-0.04,0.04,0.0,0.0
2022-05-12,0.26,-0.47,0.38,-0.38
2022-05-13,-0.62,0.54,-0.62,0.54
2022-05-14,-0.62,-0.42,-0.6,-0.56
2022-05-15,0.13,0.06,0.0,0.0
2022-05-16,-0.11,0.66,-0.11,0.66
2022-05-17,-0.25,0.12,0.0,-0.13
2022-05-18,0.3,0.25,0.3,0.25
2022-05-19,0.0,0.51,0.0,0.51
2022-05-20,-0.84,0.44,-0.84,0.44
2022-05-21,-0.1,-0.17,-0.16,-0.17
2022-05-22,-0.29,-0.16,-0.28,-0.07
2022-05-23,-0.2,-0.02,0.0,0.0
2022-05-24,0.35,0.21,0.3,0.48
2022-05-25,0.04,-0.04,0.04,-0.04
2022-05-26,-0.06,0.33,-0.03,0.42
2022-05-27,0.0,0.0,0.0,0.0
2022-05-28,-0.15,-0.14,-0.08,-0.38
2022-05-29,-0.24,-0.2,-0.03,-0.27
2022-05-30,0.0,0.44,0.0,0.44
2022-05-31,-0.21,-0.3,-0.38,-0.27
2022-06-01,0.09,-0.07,0.09,-0.07
2022-06-02,-0.04,-0.38,0.11,-0.47
2022-06-03,0.0,0.38,0.0,0.38
2022-06-04,-0.58,0.05,-0.58,0.05
2022-06-05,-0.3,0.1,-0.17,0.09
2022-06-06,-0.34,-0.67,-0.34,-0.67
2022-06-07,-0.74,-0.27,-0.74,-0.27
2022-06-09,0.4,-0.18,0.4,-0.18
2022-06-10,-0.67,-0.7,-0.67,-0.7
2022-06-11,-0.35,-0.37,-0.36,-0.35
2022-06-12,-0.07,0.14,-0.11,0.23
2022-06-13,-0.14,-0.19,-0.14,-0.19
2022-06-14,-0.17,-0.2,0.0,0.0
2022-06-15,-0.16,-0.11,-0.16,-0.11
2022-06-16,-0.49,0.0,-0.49,0.0
2022-06-17,-0.25,0.36,-0.25,0.36
2022-06-18,0.02,-0.31,0.0,0.0
2022-06-19,-0.44,-0.14,-0.5,-0.04
2022-06-20,0.0,-0.18,0.0,-0.18
2022-06-21,-0.38,0.0,-0.38,0.0
2022-06-22,0.0,0.0,0.0,0.0
2022-06-23,-0.16,-0.17,-0.16,-0.17
2022-06-24,0.13,0.06,0.0,0.0
2022-06-25,0.08,-0.35,0.0,-0.72
2022-06-26,-0.2,0.0,-0.2,0.0
2022-06-27,-0.51,-0.01,-0.51,-0.01
2022-06-28,-0.47,-0.31,-0.59,-0.49
2022-06-29,0.01,-0.26,0.0,0.0
2022-06-30,0.19,-0.44,0.0,-0.48
2022-07-02,-0.01,-0.3,-0.16,-0.39
2022-07-03,-0.23,-0.63,-0.23,-0.63
2022-07-04,-0.47,-0.11,-0.47,-0.11
2022-07-05,-0.71,-0.15,-0.71,-0.15
2022-07-06,-0.01,-0.52,-0.01,-0.52
2022-07-07,-0.1,-0.03,0.0,-0.25
2022-07-08,-0.34,-0.03,-0.34,-0.03
2022-07-09,-0.34,-0.05,-0.34,-0.08
2022-07-10,-0.34,-0.61,-0.34,-0.61
2022-07-11,-0.64,-0.52,-0.64,-0.52
2022-07-12,-0.15,-0.31,-0.15,-0.31
2022-07-13,0.11,0.23,0.11,0.23
2022-07-14,-0.17,-0.11,-0.34,0.0
2022-07-15,-0.11,-0.29,-0.11,-0.34
2022-07-16,-0.39,-0.15,-0.39,-0.15
2022-07-17,-0.37,-0.12,-0.56,-0.3
2022-07-18,-0.2,-0.17,0.0,0.0
2022-07-19,-0.35,-0.49,-0.35,-0.49
2022-07-20,-0.04,-0.37,0.0,-0.34
2022-07-21,-0.06,-0.01,0.0,0.0
2022-07-22,0.0,0.4,0.0,0.4
2022-07-23,-0.19,-0.49,-0.19,-0.49
2022-07-24,0.03,-0.27,0.0,-0.36
2022-07-25,0.23,0.72,0.23,0.72
2022-07-26,-0.13,-0.15,0.0,0.03
2022-07-27,-0.44,-0.28,-0.54,-0.34
2022-07-28,0.0,0.38,0.0,0.38
2022-07-29,-0.23,-0.16,-0.16,-0.33
2022-07-30,-0.32,-0.19,-0.2,-0.22
2022-07-31,-0.1,0.13,-0.01,0.16
2022-08-01,0.06,0.0,0.06,0.0
2022-08-02,0.01,-0.28,0.01,-0.28
2022-08-03,0.02,-0.18,0.0,0.0
2022-08-04,-0.44,-0.76,-0.44,-0.76
2022-08-05,-0.44,-0.56,-0.44,-0.56
2022-08-06,0.06,-0.03,0.0,0.0
2022-08-07,-0.49,-0.61,-0.61,-0.64
2022-08-08,0.22,0.24,0.22,0.34
2022-08-09,-0.04,0.12,0.0,0.0
2022-08-10,0.07,-0.26,0.0,-0.23
2022-08-11,-0.15,0.2,0.0,0.0
2022-08-12,0.0,-0.21,0.0,0.0
2022-08-13,-0.4,-0.17,-0.48,0.0
2022-08-14,-0.18,-0.51,0.0,-0.6
2022-08-15,-0.17,-0.39,0.0,-0.44
2022-08-16,0.15,0.01,0.16,0.02
2022-08-17,-0.22,-0.05,0.0,0.0
2022-08-18,0.14,0.14,0.08,0.48
2022-08-19,-0.08,0.22,-0.08,0.22
2022-08-20,0.03,-0.07,0.0,0.06
2022-08-21,-0.17,-0.16,-0.32,0.0
2022-08-22,-0.13,-0.0,-0.06,0.0
2022-08-23,-0.11,-0.44,0.0,-0.63
2022-08-24,0.08,0.13,0.0,0.19
2022-08-25,-0.49,0.02,-0.5,0.0
2022-08-26,-0.25,0.36,-0.25,0.36
2022-08-27,-0.52,-0.15,-0.66,-0.16
2022-08-28,-0.38,-0.23,-0.5,-0.38
2022-08-29,-0.44,-0.06,-0.44,-0.06
2022-08-30,0.0,-0.08,0.0,-0.08
2022-08-31,-0.32,-0.22,-0.36,-0.3
2022-09-01,-0.03,-0.19,0.0,-0.23
2022-09-02,-0.18,-0.22,-0.19,-0.31
2022-09-03,-0.69,-0.75,-0.69,-0.75
2022-09-04,-0.11,-0.17,-0.15,-0.46
2022-09-05,-0.28,-0.34,-0.16,-0.6
2022-09-06,-0.2,-0.34,0.0,-0.4
2022-09-07,-0.19,-0.19,0.0,-0.33
2022-09-08,-0.25,-0.76,-0.48,-0.75
2022-09-09,-0.1,0.25,-0.1,0.25
2022-09-10,-0.22,0.23,-0.34,0.34
2022-09-11,-0.31,-0.27,-0.33,-0.36
2022-09-12,-0.4,0.27,-0.42,0.38
2022-09-13,-0.1,-0.08,-0.08,0.0
