time,low,high,open,close,volume,win_loss
2022-09-13,19855.0,22800.0,22402.58,20174.78,37351.56014939,0
2022-09-14,19625.0,20545.0,20174.78,20227.77,25139.52734416,1
2022-09-15,19500.0,20336.42,20227.7,19703.67,21124.30384367,0
2022-09-16,19305.0,19890.95,19703.65,19801.04,24863.81492556,1
2022-09-17,19748.89,20183.14,19800.26,20113.37,11557.14724341,1
2022-09-18,19335.57,20119.08,20113.37,19417.64,16437.90668757,0
2022-09-19,18255.0,19689.62,19417.56,19540.38,30961.4463315,1
2022-09-20,18722.0,19638.46,19538.31,18876.91,27437.23361358,0
2022-09-21,18153.13,19949.97,18876.14,18462.64,44344.46282424,0
2022-09-22,18358.63,19521.8,18462.66,19401.25,41006.95212665,1
2022-09-23,18529.0,19500.0,19399.93,19286.01,30781.38249694,0
2022-09-24,18808.13,19311.4,19286.03,18923.2,17644.76169841,0
2022-09-25,18619.88,19184.3,18920.93,18808.61,14499.16320537,0
2022-09-26,18681.02,19320.86,18806.3,19228.0,33108.05445715,1
2022-09-27,18821.55,20383.15,19226.94,19077.57,51860.03004114,0
2022-09-28,18487.0,19773.67,19077.56,19412.07,43710.30467197,1
2022-09-29,18845.3,19646.66,19412.37,19595.57,34783.53737085,1
2022-09-30,19154.38,20182.72,19595.59,19426.11,34243.66392923,0
2022-10-01,19160.0,19486.43,19423.57,19315.27,7337.45595566,0
2022-10-02,18923.81,19398.94,19315.26,19059.17,12951.42404465,0
2022-10-03,18958.29,19717.67,19059.1,19633.46,28571.64018677,1
2022-10-04,19495.32,20479.43,19632.43,20345.19,32685.41637125,1
2022-10-05,19750.0,20371.15,20345.27,20161.62,33542.20736149,0
2022-10-06,19855.19,20455.79,20162.15,19965.64,44044.43606305,0
2022-10-07,19325.0,20065.26,19963.75,19533.05,34938.97272677,0
2022-10-08,19250.0,19628.78,19531.68,19419.39,9745.2545363,0
2022-10-09,19321.0,19563.28,19421.49,19443.47,12537.63788265,1
2022-10-10,19028.08,19528.04,19442.7,19132.83,26596.56843638,0
2022-10-11,18855.19,19265.69,19130.8,19058.11,36248.01909763,0
2022-10-12,18971.51,19235.26,19058.42,19155.92,24862.65344825,1
2022-10-13,18131.0,19509.23,19153.97,19378.65,49160.49651762,1
2022-10-14,19076.83,19954.14,19375.55,19178.0,46208.33260444,0
2022-10-15,18983.0,19229.12,19179.15,19070.24,9062.82835275,0
2022-10-16,19065.23,19425.49,19070.62,19264.44,8310.92834083,1
2022-10-17,19154.72,19679.46,19261.62,19550.4,24137.12482696,1
2022-10-18,19091.77,19702.73,19550.39,19328.76,27645.59742478,0
2022-10-19,19062.1,19361.0,19328.75,19124.18,22284.13292808,0
2022-10-20,18905.0,19349.04,19123.77,19042.48,28405.7559743,0
2022-10-21,18659.0,19254.52,19043.66,19166.45,24206.36088454,1
2022-10-22,19110.46,19257.66,19164.92,19209.1,7044.99034028,1
2022-10-23,19070.92,19698.1,19209.09,19572.44,12086.31175412,1
2022-10-24,19159.35,19603.57,19572.2,19330.41,29432.58356293,0
2022-10-25,19240.76,20420.88,19332.11,20086.28,42452.33701168,1
2022-10-26,20055.85,21022.81,20086.27,20775.4,43618.9919315,1
2022-10-27,20196.01,20878.17,20773.59,20296.97,34123.58255469,0
2022-10-28,20000.0,20755.09,20295.77,20597.91,29581.75150226,1
2022-10-29,20561.2,21080.0,20597.34,20823.53,19822.75126022,1
2022-10-30,20523.92,20939.35,20822.38,20630.68,13737.38848362,0
2022-10-31,20237.0,20837.68,20629.21,20489.94,22222.73611567,0
2022-11-01,20326.55,20691.0,20489.55,20479.63,21147.00854592,0
2022-11-02,20059.53,20805.0,20480.34,20151.4,43913.21904186,0
2022-11-03,20032.02,20390.82,20151.29,20206.88,26837.37211156,1
2022-11-04,20181.61,21298.76,20208.02,21144.2,42027.16281295,1
2022-11-05,21082.54,21478.8,21149.03,21300.45,14076.70487828,1
2022-11-06,20886.26,21365.89,21300.45,20909.17,10958.4932636,0
2022-11-07,20394.34,21069.46,20908.15,20593.49,25279.82916936,0
2022-11-08,17500.0,20675.0,20593.34,18550.25,84056.63082724,0
2022-11-09,15512.0,18590.34,18546.07,15891.96,119633.96194081,0
2022-11-10,15720.0,18140.62,15894.77,17553.89,91496.98548059,1
2022-11-11,16336.05,17641.32,17555.44,17013.62,64776.6547934,0
2022-11-12,16595.25,17067.7,17014.78,16783.33,23830.0578576,0
2022-11-13,16214.95,16926.57,16783.32,16301.39,23266.69734743,0
2022-11-14,15790.25,17169.68,16298.75,16590.73,55601.93469977,1
2022-11-15,16502.85,17107.88,16588.41,16877.93,48155.32053543,1
2022-11-16,16358.66,16994.31,16879.37,16645.24,37249.70414522,0
2022-11-17,16396.0,16736.7,16646.58,16680.47,22484.77507436,1
2022-11-18,16526.28,16984.08,16680.47,16680.59,26970.34405749,1
2022-11-19,16534.83,16802.0,16678.85,16683.02,9396.04770097,1
2022-11-20,16154.65,16733.19,16680.7,16252.53,16685.1909604,0
2022-11-21,15460.0,16279.99,16252.43,15760.14,43799.91803333,0
2022-11-22,15596.22,16294.5,15758.96,16199.71,44555.90690195,1
2022-11-23,16142.99,16700.0,16201.15,16587.0,37143.06609396,1
2022-11-24,16450.62,16797.28,16585.83,16587.61,21819.50497344,1
2022-11-25,16333.0,16610.08,16587.6,16510.9,20800.91157317,0
2022-11-26,16376.1,16693.18,16510.9,16450.93,12308.57070713,0
2022-11-27,16395.0,16589.43,16450.32,16419.88,10825.69525321,0
2022-11-28,15992.64,16478.32,16421.63,16206.3,30336.24756667,0
2022-11-29,16092.53,16541.72,16206.23,16438.0,21901.9847881,1
2022-11-30,16423.37,17259.37,16437.94,17167.33,42517.61172285,1
2022-12-01,16855.0,17317.8,17165.44,16980.08,31798.99151828,0
2022-12-02,16791.02,17108.25,16980.07,17094.71,23096.43686725,1
2022-12-03,16863.58,17158.42,17094.25,16888.53,14081.4506716,0
2022-12-04,16882.86,17199.99,16889.17,17108.9,16961.10828839,1
2022-12-05,16865.22,17424.59,17108.9,16966.05,33618.45109026,0
2022-12-06,16904.04,17111.35,16966.05,17089.05,26693.6101171,1
2022-12-07,16679.52,17140.22,17089.18,16840.0,22635.46848793,0
2022-12-08,16738.0,17300.59,16839.76,17226.01,23533.23453743,1
2022-12-09,17060.69,17352.62,17226.03,17130.59,20976.63699864,0
2022-12-10,17093.42,17227.64,17130.49,17128.1,7860.58687575,0
2022-12-11,17073.19,17271.92,17128.1,17085.21,9948.85267032,0
2022-12-12,16875.83,17244.63,17085.62,17211.66,20659.65709227,1
2022-12-13,17089.17,17999.99,17212.9,17773.18,38316.03172467,1
2022-12-14,17660.93,18385.36,17772.98,17804.97,49295.42072146,1
2022-12-15,17275.02,17856.26,17805.36,17357.96,37834.73808374,0
2022-12-16,16529.53,17525.0,17359.1,16632.64,47159.86300655,0
2022-12-17,16585.64,16799.99,16634.29,16782.25,18446.6836015,1
2022-12-18,16663.76,16875.0,16782.23,16741.16,11073.43886205,0
2022-12-19,16273.4,16822.84,16742.33,16439.74,26856.08598724,0
2022-12-20,16398.22,17060.86,16439.98,16897.65,34330.28235168,1
2022-12-21,16725.78,16926.05,16896.17,16826.56,16743.62189364,0
2022-12-22,16560.84,16868.82,16825.18,16815.51,21269.7673979,0
2022-12-23,16719.57,16943.29,16815.28,16777.21,21958.88697726,0
2022-12-24,16775.88,16863.62,16777.88,16837.12,9502.80320659,1
2022-12-25,16720.89,16853.88,16837.24,16829.02,7065.21656572,0
2022-12-26,16787.97,16939.81,16829.19,16917.96,8493.27661167,1
2022-12-27,16585.97,16967.0,16916.66,16698.73,17482.09318834,0
2022-12-28,16460.0,16777.35,16698.31,16539.66,23345.55126307,0
2022-12-29,16479.5,16654.81,16539.66,16627.54,20088.46487471,1
2022-12-30,16326.16,16649.99,16627.36,16600.1,26532.28003447,0
2022-12-31,16462.49,16634.42,16599.98,16530.35,15414.5294044,0
2023-01-01,16490.0,16621.0,16531.83,16611.58,10668.73697739,1
2023-01-02,16542.52,16789.99,16611.9,16666.95,13560.46017964,1
2023-01-03,16600.0,16772.3,16666.86,16669.47,17612.35527749,1
2023-01-04,16645.87,16988.0,16668.95,16844.42,25922.70680625,1
2023-01-05,16750.07,16872.13,16844.4,16825.69,14918.22913349,0
2023-01-06,16670.82,17027.11,16825.53,16948.06,24235.38704157,1
2023-01-07,16903.58,16977.76,16948.0,16942.37,5680.11799379,0
2023-01-08,16910.41,17167.52,16942.37,17125.18,9195.45985397,1
2023-01-09,17102.97,17396.25,17125.17,17177.98,33252.15435855,1
2023-01-10,17145.1,17494.37,17177.94,17443.5,24901.57485784,1
2023-01-11,17315.08,17998.0,17443.5,17944.27,27251.01602186,1
2023-01-12,17904.83,19115.85,17944.15,18847.75,61938.44269045,1
2023-01-13,18714.8,20000.0,18847.77,19934.88,55049.6223488,1
2023-01-14,19893.25,21321.98,19934.07,20957.02,58239.87328811,1
2023-01-15,20560.16,21057.3,20956.2,20879.7,25709.30241812,0
2023-01-16,20611.45,21465.62,20879.67,21187.5,41151.35428763,1
2023-01-17,20844.73,21595.0,21191.46,21136.33,32656.47978348,0
2023-01-18,20370.01,21650.21,21135.01,20674.29,34600.25647175,0
2023-01-19,20656.52,21197.0,20674.03,21084.22,23436.75404601,1
2023-01-20,20865.64,22754.73,21084.05,22669.81,32810.59587882,1
2023-01-21,22432.45,23375.6,22671.09,22789.37,32657.60500465,1
2023-01-22,22298.15,23082.82,22789.34,22714.87,25548.28914044,0
2023-01-23,22500.01,23180.55,22714.81,22920.29,32380.77464386,1
2023-01-24,22460.17,23165.56,22920.67,22636.17,39180.10567306,0
2023-01-25,22326.24,23824.66,22636.19,23062.36,38496.91631901,1
2023-01-26,22853.61,23287.38,23062.36,23010.47,30187.01702655,0
2023-01-27,22540.76,23511.9,23011.37,23084.4,27185.13487749,1
2023-01-28,22884.0,23196.99,23084.38,23028.95,7466.33930339,0
2023-01-29,22974.75,23966.0,23029.56,23745.8,20952.76361397,1
2023-01-30,22500.0,23802.99,23744.34,22836.03,34312.28644397,0
2023-01-31,22719.68,23313.23,22836.03,23128.86,22721.77475761,1
2023-02-01,22760.0,23813.57,23127.15,23735.97,20292.22416962,1
2023-02-02,23367.87,24262.18,23735.97,23493.84,16368.92138269,0
2023-02-03,23208.01,23720.0,23497.29,23433.54,14215.66842983,0
2023-02-04,23257.71,23589.67,23433.47,23328.87,3567.13007478,0
2023-02-05,22758.01,23433.2,23329.47,22936.34,6574.34533251,0
2023-02-06,22637.51,23163.05,22936.34,22764.07,12149.94486314,0
2023-02-07,22748.11,23348.73,22763.42,23244.67,9803.34759825,1
2023-02-08,22669.09,23451.01,23244.64,22964.38,7693.59195866,0
2023-02-09,21700.0,23011.18,22963.91,21800.63,19277.239648,0
2023-02-10,21467.43,21942.41,21800.62,21628.97,12641.59512641,0
2023-02-11,21605.35,21904.0,21628.97,21863.73,4695.91143894,1
2023-02-12,21631.0,22091.88,21863.73,21789.8,5990.68642903,0
2023-02-13,21366.45,21903.03,21789.79,21789.14,13246.3049252,0
2023-02-14,21545.67,22331.76,21789.0,22206.27,14879.72784164,1
2023-02-15,22054.17,24386.5,22206.26,24329.04,23427.35072192,1
2023-02-16,23510.73,25256.83,24326.95,23516.15,30034.93494269,0
2023-02-17,23344.12,25025.0,23516.95,24577.6,22795.35234631,1
2023-02-18,24407.67,24879.33,24577.6,24636.23,6191.17379627,1
2023-02-19,24192.7,25200.0,24635.85,24281.31,9733.21021005,0
2023-02-20,23841.08,25128.11,24278.81,24844.97,13977.17943437,1
2023-02-21,24153.96,25288.88,24844.21,24454.43,16495.25564236,0
2023-02-22,23581.64,24480.0,24454.08,24184.44,17390.31077874,0
2023-02-23,23612.59,24600.95,24184.9,23943.32,16847.70433307,0
2023-02-24,22520.0,24132.67,23943.32,23186.88,20933.97488913,0
2023-02-25,22716.47,23220.56,23186.88,23159.71,5937.43847794,0
2023-02-26,23052.78,23689.77,23159.71,23556.83,6063.45918348,1
2023-02-27,23109.06,23895.51,23556.83,23489.52,12098.67253518,0
2023-02-28,23027.24,23597.98,23490.01,23145.32,9516.02766667,0
2023-03-01,23025.17,23999.99,23144.37,23631.52,12151.84539817,1
2023-03-02,23196.09,23798.62,23632.12,23468.24,9239.93644458,0
2023-03-03,21988.02,23477.28,23468.79,22358.18,21715.09355721,0
2023-03-04,22150.71,22409.82,22358.18,22350.95,2266.21497947,0
2023-03-05,22195.13,22654.64,22349.74,22432.69,5291.96467583,1
2023-03-06,22264.73,22599.99,22431.99,22410.31,10660.04864303,0
2023-03-07,21932.74,22557.03,22410.13,22198.48,10381.24422759,0
2023-03-08,21580.84,22281.55,22198.09,21698.37,13343.72575834,0
2023-03-09,20050.0,21825.53,21699.41,20367.01,21326.08097071,0
2023-03-10,19568.52,20369.78,20366.97,20230.08,32126.59207482,0
2023-03-11,19900.5,20964.5,20230.07,20620.54,18920.85100043,1
2023-03-12,20446.24,22276.69,20619.34,22219.08,19165.53317335,1
2023-03-13,21882.63,24710.0,22216.02,24220.0,38654.82408388,1
